wind_speed,swr,ModelParameters/a_seiche,par_id
1.3876,1.4345,0.0023289,p0001
0.62496,1.0695,0.0003753,p0002
1.4505,1.0546,0.00041219,p0003
0.51196,1.4778,0.0083761,p0004
0.71518,1.0701,0.00034554,p0005
1.1345,1.3082,0.00019668,p0006
0.70106,1.2387,0.00010997,p0007
1.1861,1.0094,0.00022005,p0008
0.73742,1.4228,0.0001288,p0009
1.2078,1.2261,0.0012212,p0010
0.66042,1.2524,0.0013136,p0011
0.95036,0.84155,0.00023225,p0012
1.0359,0.69685,0.00093768,p0013
1.349,0.90848,0.0027861,p0014
0.59711,1.0448,0.0035179,p0015
1.1803,1.3821,0.00041803,p0016
0.87469,1.0588,0.00013663,p0017
1.2395,1.4923,0.00099547,p0018
1.0804,1.1961,0.0001263,p0019
0.99199,0.65206,0.0063183,p0020
1.1226,0.50593,0.00037706,p0021
0.87871,0.76207,0.0024223,p0022
1.2333,0.89386,0.0081754,p0023
1.083,1.3874,0.0093417,p0024
1.4057,1.0412,0.0014869,p0025
0.99314,1.2493,0.0019133,p0026
0.81591,0.76057,0.00017929,p0027
1.2829,1.4544,0.0025541,p0028
0.61491,0.84967,0.00049397,p0029
0.89892,1.0496,0.0057668,p0030
0.78329,0.56201,0.00033809,p0031
1.443,1.4842,0.00050748,p0032
0.59224,1.2258,0.00086628,p0033
1.2964,0.72865,0.0001391,p0034
0.84128,1.4679,0.0038736,p0035
1.2575,0.58944,0.0028804,p0036
1.3131,0.92616,0.0052749,p0037
0.65976,1.283,0.00063759,p0038
1.104,1.3298,0.0013006,p0039
1.0477,1.2472,0.00084835,p0040
0.88707,0.56545,0.0001279,p0041
1.1519,0.64062,0.00020967,p0042
1.4315,0.85598,0.0054597,p0043
0.71764,1.4385,0.0020123,p0044
1.4652,0.8691,0.0036719,p0045
1.2121,1.4443,0.00010598,p0046
0.72015,0.67736,0.00010811,p0047
1.2819,0.82392,0.0097363,p0048
0.78119,0.99575,0.0047158,p0049
0.98852,1.4424,0.0051161,p0050
0.58867,1.1401,0.0012775,p0051
0.77016,1.4144,0.00032545,p0052
1.2414,0.77886,0.0037125,p0053
1.2452,0.74734,0.00016414,p0054
1.3894,1.0223,0.0040915,p0055
0.87661,1.3219,0.00035268,p0056
1.0491,0.6196,0.00062421,p0057
0.64891,0.54113,0.0039169,p0058
1.3356,1.2992,0.0017659,p0059
1.3853,0.91985,0.00074597,p0060
1.1419,0.58418,0.00057304,p0061
1.1458,1.4267,0.00017808,p0062
1.067,1.4891,0.0027643,p0063
0.6536,1.0721,0.0044975,p0064
1.2355,1.1679,0.0020226,p0065
1.0459,1.3242,0.00034266,p0066
0.86083,1.0143,0.00034858,p0067
0.99912,0.94505,0.0049276,p0068
1.1759,0.94712,0.001854,p0069
0.80471,0.62905,0.00012577,p0070
1.1136,0.90362,0.00018439,p0071
1.0015,0.77672,0.00014361,p0072
1.0935,1.4308,0.00018208,p0073
1.3166,1.0756,0.00010485,p0074
1.4583,0.64617,0.00055298,p0075
1.1731,1.2779,0.00018712,p0076
1.0097,0.80985,0.00042161,p0077
1.4144,0.80379,0.00080585,p0078
0.67617,1.1566,0.0011634,p0079
1.4233,1.2069,0.00025837,p0080
0.526,1.1905,0.0030873,p0081
1.0765,1.0943,0.00055589,p0082
0.96784,0.83173,0.00036877,p0083
0.79786,0.54632,0.0085061,p0084
1.0065,1.0635,0.0016607,p0085
0.73526,0.53721,0.00029094,p0086
0.90937,0.75954,0.0029806,p0087
1.3551,0.92364,0.00015705,p0088
0.92586,0.79638,0.00033187,p0089
0.86309,1.3044,0.00028738,p0090
0.6671,1.1205,0.002843,p0091
0.97649,1.1522,0.0018243,p0092
1.0142,0.74917,0.00084196,p0093
0.90175,1.076,0.00064745,p0094
0.65613,1.2597,0.00065714,p0095
0.55341,0.95657,0.0048901,p0096
1.2211,0.50914,0.0062354,p0097
1.4829,1.4948,0.00098242,p0098
0.78506,1.2792,0.0020574,p0099
0.91382,0.53822,0.00049062,p0100
0.57474,0.71339,0.00027041,p0101
1.3364,0.95071,0.00011823,p0102
0.77977,0.56883,0.003317,p0103
1.2766,1.45,0.00070595,p0104
1.1786,1.1726,0.0056612,p0105
1.4554,1.1794,0.0016861,p0106
0.59108,0.92549,0.00078444,p0107
1.2492,0.7731,0.00048141,p0108
0.88098,1.2853,0.00027499,p0109
1.4527,1.3352,0.0019383,p0110
0.91499,0.76609,0.00017318,p0111
0.54393,1.0462,0.0092658,p0112
1.3826,1.1779,0.0011419,p0113
1.1567,0.56058,0.00060412,p0114
1.4019,1.4283,0.0033514,p0115
1.2997,0.64274,0.00031568,p0116
1.2149,0.7744,0.00017537,p0117
0.79594,0.60063,0.0044194,p0118
1.3203,1.4578,0.0021619,p0119
0.74788,0.8337,0.00031991,p0120
0.7454,0.73219,0.0011884,p0121
0.76434,1.4685,0.0037907,p0122
0.98055,1.2323,0.0018465,p0123
1.0376,0.96618,0.00076218,p0124
1.0798,0.54323,0.00081364,p0125
1.3603,0.75169,0.00075704,p0126
0.9358,0.67207,0.0023577,p0127
1.262,0.73655,0.0012913,p0128
1.1555,1.4968,0.0022787,p0129
0.87249,0.78797,0.00096954,p0130
1.4801,0.60314,0.00043306,p0131
1.276,0.59575,0.00039484,p0132
1.2504,0.73071,0.0025319,p0133
1.3928,1.2007,0.00057841,p0134
0.53854,1.1121,0.0015631,p0135
1.2296,0.99257,0.00026739,p0136
0.61254,1.0651,0.00010453,p0137
0.57863,0.7574,0.009972,p0138
0.92968,1.014,0.0058356,p0139
1.227,0.60925,0.0017284,p0140
0.90294,0.79968,0.0066093,p0141
0.56597,0.92035,0.0039829,p0142
1.1264,1.3128,0.0015427,p0143
1.0659,1.3037,0.00012345,p0144
1.309,0.50262,0.0053346,p0145
1.3691,1.0316,0.00039056,p0146
1.1713,1.3795,0.0013823,p0147
0.67324,1.0335,0.0046827,p0148
1.2859,0.65091,0.0046408,p0149
0.71283,1.4327,0.0013498,p0150
0.8295,0.66809,0.00019265,p0151
0.92182,0.63318,0.00046525,p0152
0.98749,1.2882,0.00019207,p0153
0.68397,0.8443,0.00010235,p0154
1.1015,1.2657,0.00014308,p0155
0.65054,0.67027,0.00019887,p0156
1.058,1.3884,0.0069111,p0157
0.75893,0.59845,0.0031848,p0158
1.3521,0.98735,0.0060998,p0159
1.0255,1.3963,0.00013291,p0160
1.1078,1.1019,0.0032053,p0161
0.72262,0.93144,0.0030712,p0162
1.1917,1.4814,0.0018062,p0163
0.91097,0.93559,0.0043365,p0164
1.4409,1.4741,0.0017759,p0165
1.0036,0.72512,0.0007202,p0166
0.5013,0.67549,0.00051742,p0167
1.4287,1.1235,0.0001494,p0168
0.72439,0.87925,0.00011162,p0169
1.3315,0.52108,0.00016961,p0170
1.4275,1.4015,0.0010625,p0171
0.62349,0.60607,0.00047518,p0172
0.85887,0.97196,0.00020319,p0173
0.97105,0.81044,0.00026981,p0174
1.3255,0.71809,0.0010519,p0175
1.2623,0.50023,0.00022108,p0176
0.94068,0.65875,0.0012366,p0177
1.0703,0.51235,0.00024201,p0178
1.205,1.1037,0.0096462,p0179
0.88422,1.0425,0.0010037,p0180
1.1297,0.81367,0.0015902,p0181
0.83424,0.63462,0.00044939,p0182
0.59846,1.0618,0.0052154,p0183
0.60017,0.55696,0.00019029,p0184
0.70775,1.3239,0.0082845,p0185
1.031,1.2439,0.0018967,p0186
0.52923,1.2227,0.00021437,p0187
1.2919,0.55523,0.00053986,p0188
0.69377,0.85825,0.00059357,p0189
0.76316,0.94854,0.00064905,p0190
0.85668,0.88762,0.00091173,p0191
1.0134,0.79459,0.00072815,p0192
1.0725,1.1849,0.00037004,p0193
1.2721,0.59304,0.0026707,p0194
0.8264,1.1088,0.0048634,p0195
0.73021,1.3396,0.00013036,p0196
0.57004,1.4468,0.0045556,p0197
0.98582,1.4505,0.00070178,p0198
