wind_speed,swr,sediment/sed_temp_mean,sediment/sed_temp_mean,glm_setup/max_layer_thick,par_id
1.1436,1.2638,7.6118,18.213,0.39284,p0001
1.318,1.3477,15.888,8.011,0.4634,p0002
1.0013,1.127,9.6176,6.6901,0.22382,p0003
0.80733,0.84824,8.3176,11.622,0.24516,p0004
1.3435,1.3143,8.9605,0.9262,0.69009,p0005
1.466,0.93307,3.6226,18.452,0.31874,p0006
0.57379,1.4099,14.072,15.996,0.41907,p0007
0.94106,1.2446,13.277,3.3331,0.24107,p0008
0.57064,0.58185,0.68157,6.3337,0.29666,p0009
1.2684,0.75914,12.801,17.612,0.66592,p0010
1.0634,1.0802,1.7073,3.0773,0.73776,p0011
1.4967,0.82143,18.711,11.369,0.53022,p0012
0.87739,1.3628,17.164,14.617,0.69502,p0013
0.6048,0.51416,16.65,16.486,0.49706,p0014
1.1862,0.65793,17.231,14.328,0.74759,p0015
1.4712,0.69726,5.7574,0.75999,0.21522,p0016
1.0161,1.3068,7.4655,19.665,0.44833,p0017
1.1819,1.2886,3.0918,1.5344,0.5786,p0018
0.74869,1.2859,5.5968,12.877,0.6081,p0019
1.3329,1.4691,2.9585,17.041,0.70758,p0020
1.1243,0.87651,13.347,16.616,0.5335,p0021
0.79813,1.0516,17.931,17.864,0.70318,p0022
0.61682,1.2591,7.6381,14.204,0.5035,p0023
0.52371,0.99308,1.8007,1.7143,0.63278,p0024
1.151,0.75597,1.5151,16.821,0.47641,p0025
0.58016,0.64471,10.993,1.1931,0.69326,p0026
1.0048,0.92201,11.542,7.949,0.70961,p0027
0.99209,0.95245,6.554,19.237,0.3066,p0028
0.90523,1.3743,2.1995,6.5344,0.50156,p0029
1.0982,0.96186,16.525,7.6342,0.5958,p0030
0.90831,1.0831,4.5084,7.8693,0.39852,p0031
1.2931,1.1018,14.941,7.0109,0.299,p0032
1.2163,0.5692,11.401,7.775,0.20519,p0033
1.3989,0.91521,15.346,19.842,0.61955,p0034
0.78126,0.83172,2.3347,2.7644,0.68625,p0035
1.3489,0.74892,4.0181,8.4072,0.37945,p0036
1.2048,1.1873,4.4525,1.271,0.24867,p0037
0.52567,0.7036,1.4695,13.083,0.20388,p0038
0.67184,1.3309,14.987,3.635,0.28259,p0039
1.2796,0.6728,0.62866,1.8248,0.3165,p0040
