wind_speed,swr,turbulence/turb_param/k_min,par_id
1.3125,0.78528,1.4493e-08,p0001
1.355,0.88207,9.7285e-09,p0002
1.2799,1.3558,1.9043e-11,p0003
0.50214,1.1232,2.0825e-07,p0004
1.0289,0.84204,6.981e-08,p0005
1.2647,0.83134,2.2029e-11,p0006
1.3227,1.0036,8.8476e-12,p0007
0.62051,1.4283,1.3147e-11,p0008
0.5513,0.89937,2.704e-10,p0009
1.3027,1.1551,1.0451e-09,p0010
0.67474,0.87883,1.2121e-12,p0011
0.65271,0.93477,1.1543e-11,p0012
0.64147,0.68459,3.8674e-10,p0013
0.71049,1.1086,1.3537e-06,p0014
1.4227,1.4104,1.9663e-12,p0015
1.1465,0.96396,2.3533e-06,p0016
1.2562,0.58437,6.935e-06,p0017
0.84065,1.2266,2.2139e-12,p0018
1.1075,0.86769,1.8032e-11,p0019
0.6483,0.69407,1.6361e-10,p0020
1.2751,1.01,1.8098e-06,p0021
0.94166,0.91791,5.1833e-07,p0022
1.1057,0.88118,1.5374e-12,p0023
1.3826,0.53712,1.6913e-08,p0024
1.3311,0.57978,3.0564e-06,p0025
1.0937,0.62798,2.8751e-06,p0026
1.0527,1.1427,1.2329e-12,p0027
1.3008,0.95638,2.7411e-07,p0028
0.65476,0.6644,5.1427e-11,p0029
0.88772,1.4176,2.4528e-12,p0030
1.0355,1.4088,2.7652e-10,p0031
1.477,1.1771,3.4718e-10,p0032
1.0713,1.094,1.5261e-07,p0033
0.82836,1.0763,6.7264e-09,p0034
1.209,0.72437,3.0628e-07,p0035
1.024,0.61677,8.1017e-08,p0036
0.98717,0.51359,3.2295e-11,p0037
0.7676,0.75456,1.4719e-11,p0038
1.4571,0.9185,1.0407e-12,p0039
0.56619,0.89311,2.8539e-09,p0040
1.0167,0.50304,6.2692e-06,p0041
1.0852,1.0914,4.3965e-12,p0042
0.98863,0.94429,5.2733e-08,p0043
0.70581,0.93373,6.2959e-11,p0044
0.58092,1.4917,2.1273e-10,p0045
0.51153,0.61116,1.0118e-12,p0046
0.9731,1.0983,3.252e-08,p0047
0.5646,0.5806,4.7417e-07,p0048
1.1152,0.72774,1.0729e-07,p0049
0.8375,1.0328,2.8455e-12,p0050
1.4005,0.9432,6.9965e-07,p0051
0.63831,0.77385,4.2255e-07,p0052
0.937,1.4506,1.2304e-06,p0053
0.5605,0.64163,1.0999e-08,p0054
0.52396,1.1134,7.7987e-07,p0055
0.5434,1.3701,2.6656e-06,p0056
0.86871,0.80188,1.6861e-07,p0057
0.78276,1.3073,8.5627e-09,p0058
0.58306,1.3571,2.0166e-12,p0059
1.3327,1.0491,6.4243e-08,p0060
0.87268,0.51046,3.5566e-07,p0061
0.75061,1.2541,1.5701e-06,p0062
1.0386,0.66696,9.5393e-07,p0063
1.1789,1.2297,4.1092e-09,p0064
1.042,0.72093,5.478e-10,p0065
1.3599,1.1915,1.2111e-08,p0066
1.097,1.4938,2.6422e-12,p0067
1.3103,0.82649,2.0381e-10,p0068
0.81803,0.791,1.5495e-10,p0069
1.4509,1.0741,2.1051e-10,p0070
1.2026,0.65932,9.3055e-09,p0071
0.60884,0.89408,3.4819e-07,p0072
0.57343,1.3528,8.6599e-06,p0073
0.7757,0.84763,5.6719e-09,p0074
1.4491,1.2989,8.8976e-09,p0075
0.61307,0.82244,1.7045e-12,p0076
1.478,0.9285,6.0134e-10,p0077
1.3699,1.1849,2.2748e-11,p0078
1.4197,0.99298,3.997e-10,p0079
0.94824,0.90188,1.5795e-12,p0080
0.74079,1.2531,9.0769e-10,p0081
1.2864,0.55879,1.1842e-08,p0082
0.6989,0.82872,2.812e-11,p0083
1.1225,1.3958,3.1599e-06,p0084
1.1665,0.9392,4.2722e-10,p0085
1.409,0.94134,1.6711e-11,p0086
1.2059,0.85475,6.8935e-10,p0087
0.84969,1.4466,3.6055e-10,p0088
0.53177,1.4124,1.0262e-08,p0089
0.5069,1.1654,1.2338e-07,p0090
0.71628,0.67453,5.2281e-10,p0091
0.95557,1.1869,2.0932e-09,p0092
0.96773,1.2021,2.0132e-09,p0093
0.81561,1.2467,2.6751e-06,p0094
1.3409,0.65593,4.9734e-09,p0095
0.71269,0.98498,1.8676e-09,p0096
0.65199,0.66969,7.9829e-06,p0097
0.8589,0.80845,9.8154e-08,p0098
0.91378,0.90674,2.6913e-09,p0099
1.4647,0.95202,3.1741e-12,p0100
0.72639,1.2369,1.6811e-06,p0101
1.3151,0.58982,3.5547e-08,p0102
1.4118,0.70807,5.2439e-06,p0103
0.59487,1.1575,3.0995e-10,p0104
1.1485,1.2085,1.7523e-11,p0105
1.489,0.87758,7.7893e-06,p0106
1.0093,0.71108,5.9668e-09,p0107
0.97546,0.65387,1.1624e-11,p0108
1.4912,1.0865,3.0158e-08,p0109
1.349,0.81695,3.399e-06,p0110
0.9188,1.1954,5.8586e-11,p0111
0.67797,1.3697,2.3982e-10,p0112
1.1874,1.4976,1.8896e-06,p0113
1.2072,0.82582,3.3212e-07,p0114
0.55693,0.64567,8.4271e-10,p0115
1.2279,0.92265,1.849e-10,p0116
1.2382,0.51691,1.5983e-08,p0117
0.62255,0.53482,1.3906e-10,p0118
0.53528,0.75201,1.8988e-10,p0119
1.3218,0.76006,2.2752e-09,p0120
0.70735,0.90902,2.503e-08,p0121
0.73426,1.0706,1.3855e-06,p0122
1.4397,1.2891,3.78e-06,p0123
1.2945,1.4625,2.9714e-10,p0124
0.93113,0.54278,3.747e-08,p0125
1.4524,0.66396,2.9561e-06,p0126
1.0446,1.2945,1.2497e-10,p0127
1.4983,1.273,7.6861e-12,p0128
0.79516,1.0781,6.6194e-08,p0129
0.77337,0.5246,4.5639e-07,p0130
0.75836,0.63578,1.2006e-11,p0131
1.1394,0.76576,1.6108e-09,p0132
1.4152,0.75963,9.1589e-07,p0133
1.3347,0.54628,5.0685e-12,p0134
1.2984,0.67035,2.2932e-09,p0135
1.3379,1.1322,4.5568e-09,p0136
1.2777,1.0452,1.3003e-07,p0137
1.0145,1.0289,6.1308e-12,p0138
1.4442,1.4065,1.5305e-06,p0139
1.0435,0.60605,8.0674e-07,p0140
1.4803,0.97571,8.2526e-06,p0141
0.99026,1.1835,4.634e-08,p0142
1.1992,1.4445,6.4849e-12,p0143
0.66326,0.68236,1.903e-08,p0144
0.74527,1.1663,5.1741e-08,p0145
0.77691,0.63165,1.8773e-11,p0146
1.4374,0.85248,6.339e-07,p0147
0.53865,0.68116,2.8226e-08,p0148
1.4628,1.3471,3.9609e-08,p0149
1.0987,1.2579,8.5798e-07,p0150
1.1855,0.62335,4.3958e-09,p0151
1.1601,1.1149,4.764e-06,p0152
0.55411,0.79588,3.6101e-11,p0153
1.4129,1.4685,6.4354e-06,p0154
1.2224,0.50535,3.9543e-11,p0155
0.79014,1.4846,2.8453e-10,p0156
0.63202,1.2433,5.8161e-08,p0157
0.74808,1.1297,2.9197e-08,p0158
0.9775,1.0572,1.759e-10,p0159
1.1886,0.78047,1.001e-10,p0160
1.2553,0.8401,1.9285e-10,p0161
1.0642,0.91545,4.3981e-10,p0162
0.6162,1.3872,8.2548e-09,p0163
1.0501,0.72395,3.7524e-07,p0164
0.92711,1.3585,9.2211e-11,p0165
0.68088,0.7006,2.3241e-12,p0166
1.3532,1.2215,2.0722e-11,p0167
