wind_speed,swr,sediment/sed_temp_mean,sediment/sed_temp_mean,par_id
1.0609,0.56903,8.5206,9.9292,p0001
1.1294,0.52025,4.439,19.415,p0002
1.311,1.331,5.8887,5.1706,p0003
0.59561,0.87457,11.299,2.462,p0004
0.968,1.1772,0.60704,11.281,p0005
1.1384,1.266,18.502,11.411,p0006
0.9849,1.1425,9.3556,16.534,p0007
1.2327,1.2064,10.107,7.7758,p0008
1.4694,0.5318,7.4714,15.894,p0009
1.3519,1.2041,4.3086,1.0457,p0010
1.0768,1.3009,16.056,16.215,p0011
1.2025,1.1128,19.355,12.84,p0012
0.85862,0.76844,4.1424,8.529,p0013
1.0498,1.472,3.6536,10.736,p0014
0.70741,0.7029,5.4121,19.983,p0015
0.72292,0.65619,1.4136,19.362,p0016
0.59946,1.2636,11.974,3.3844,p0017
0.54754,0.79692,19.676,12.981,p0018
0.69682,0.79031,2.5012,4.7007,p0019
1.2119,1.2926,11.733,14.216,p0020
1.2938,0.51944,13.151,3.2232,p0021
1.3026,1.2768,15.812,19.659,p0022
0.89632,0.62469,8.0866,9.2007,p0023
1.416,1.4149,15.506,19.738,p0024
0.71736,1.0438,4.5775,4.4172,p0025
0.71318,1.4396,10.47,2.0399,p0026
1.1654,1.0334,11.434,0.49821,p0027
1.2565,1.2292,6.4775,16.02,p0028
0.99225,1.2498,3.9509,6.6717,p0029
1.3672,0.71548,14.031,6.2104,p0030
0.51215,1.422,19.286,18.549,p0031
0.51175,0.73341,5.315,10.525,p0032
0.57381,0.80645,3.8614,5.5287,p0033
0.52767,1.1688,15.02,2.3933,p0034
1.1177,0.99308,1.5242,19.13,p0035
0.57084,0.57861,15.357,1.2535,p0036
1.2902,1.4894,18.208,15.95,p0037
0.75178,1.4303,18.675,2.7659,p0038
1.0415,1.4017,15.116,16.247,p0039
1.3599,1.3337,9.1409,18.926,p0040
0.7533,0.87059,15.449,13.583,p0041
1.1086,1.0526,14.412,7.8388,p0042
0.61063,1.1033,14.646,0.87617,p0043
0.94962,0.76228,3.8974,11.926,p0044
0.53353,1.2022,15.298,8.4831,p0045
1.3329,0.77727,7.8733,5.9347,p0046
0.96284,1.2005,15.619,3.8947,p0047
0.88851,0.62622,3.5257,18.396,p0048
1.2425,0.58906,5.2828,6.804,p0049
1.0472,1.2153,4.7759,8.2613,p0050
1.0299,1.4679,16.482,16.665,p0051
1.268,0.84726,9.792,4.8525,p0052
1.4012,0.9382,6.8707,16.721,p0053
1.009,1.2335,16.579,8.8875,p0054
1.1972,1.0418,19.067,13.494,p0055
1.2736,1.4035,12.756,2.3335,p0056
0.90573,0.60577,0.98946,14.597,p0057
0.93907,0.66625,19.891,4.7461,p0058
0.57707,0.65262,6.2382,10.241,p0059
