wind_speed,swr,Phys.par/C_shelter,par_id
1.2112,1.162,0.1617,p0001
1.2982,1.0885,0.30571,p0002
1.3619,0.82867,0.29233,p0003
1.4769,0.97022,0.078618,p0004
1.0635,0.58009,0.054235,p0005
1.4621,1.1388,0.059279,p0006
1.3184,0.77732,0.063473,p0007
0.89157,0.90514,0.18065,p0008
0.88291,0.75275,0.362,p0009
1.3646,1.2314,0.30526,p0010
0.63224,1.3836,0.18713,p0011
1.4516,1.2975,0.34975,p0012
1.3094,1.0638,0.14136,p0013
0.56889,1.3904,0.085976,p0014
1.42,0.74333,0.15195,p0015
0.91079,0.54027,0.05639,p0016
0.76194,0.51923,0.29893,p0017
1.4217,0.67901,0.074149,p0018
0.76505,0.69422,0.27135,p0019
1.4442,0.63625,0.1157,p0020
1.1617,1.3444,0.17003,p0021
0.71769,1.1629,0.18601,p0022
1.4339,0.62951,0.37784,p0023
0.61199,1.0077,0.25667,p0024
1.2245,1.4457,0.39895,p0025
1.423,1.2077,0.18376,p0026
1.227,1.3995,0.11503,p0027
0.70656,1.1197,0.2596,p0028
1.2437,1.4684,0.26356,p0029
0.91723,0.63323,0.33332,p0030
0.91386,1.1042,0.17585,p0031
0.60535,0.99893,0.096933,p0032
0.75078,0.71632,0.060604,p0033
0.88076,1.0527,0.089108,p0034
1.3729,1.1482,0.093182,p0035
0.98061,1.1029,0.33219,p0036
0.63953,1.1262,0.16675,p0037
1.4529,0.68144,0.32808,p0038
1.4043,0.70235,0.1931,p0039
1.1078,1.4098,0.21614,p0040
0.56611,1.3388,0.13892,p0041
1.255,1.4208,0.23152,p0042
1.0424,1.4382,0.14566,p0043
1.0411,1.2618,0.29843,p0044
0.54003,1.0691,0.32046,p0045
0.60745,0.9775,0.38011,p0046
1.4827,1.0802,0.28059,p0047
0.84677,1.2997,0.073535,p0048
1.1348,0.64576,0.3853,p0049
0.56174,1.0443,0.29418,p0050
0.6805,1.0665,0.37383,p0051
1.0092,0.82712,0.35972,p0052
0.6739,1.1379,0.071048,p0053
1.0115,1.3623,0.16012,p0054
1.4591,1.1881,0.3085,p0055
0.5006,0.9142,0.11599,p0056
0.65113,0.97835,0.27443,p0057
1.3282,0.94103,0.29207,p0058
0.54623,1.04,0.28113,p0059
1.1195,1.4645,0.38721,p0060
0.51723,1.3595,0.066364,p0061
0.77542,0.9304,0.19235,p0062
0.81061,0.60556,0.39777,p0063
1.2442,0.63887,0.3552,p0064
0.87895,1.0132,0.31326,p0065
0.69588,0.50192,0.052224,p0066
1.0161,1.2712,0.12399,p0067
0.74888,1.3746,0.10102,p0068
1.2334,1.432,0.23466,p0069
0.78311,1.0401,0.28507,p0070
1.1947,1.3061,0.38602,p0071
1.4545,1.3845,0.13225,p0072
1.1811,0.92539,0.34457,p0073
0.9483,0.82411,0.24397,p0074
0.57951,1.3326,0.35432,p0075
1.0668,1.0929,0.25238,p0076
0.59693,0.57344,0.25025,p0077
1.0567,1.3706,0.091391,p0078
1.4402,0.95552,0.25016,p0079
1.3498,0.74547,0.16479,p0080
0.82686,0.56281,0.36711,p0081
0.75894,1.1956,0.21245,p0082
0.79005,0.85199,0.1038,p0083
1.0492,1.2529,0.19884,p0084
0.98274,0.58767,0.050873,p0085
0.7343,1.3866,0.12061,p0086
0.5453,1.4045,0.1972,p0087
1.4127,0.73923,0.27754,p0088
1.0942,1.1994,0.22942,p0089
1.3711,0.66001,0.18952,p0090
1.4963,0.71578,0.25106,p0091
0.56549,0.60128,0.11112,p0092
1.4852,0.93337,0.31403,p0093
1.1834,1.2167,0.39231,p0094
0.53131,1.4939,0.32561,p0095
1.0317,1.1454,0.29072,p0096
0.86117,0.81196,0.13361,p0097
1.4318,1.4038,0.094878,p0098
0.90268,1.3208,0.23217,p0099
1.1528,1.2812,0.35062,p0100
0.78689,0.77944,0.29345,p0101
0.83915,1.4253,0.35749,p0102
0.649,1.4525,0.1735,p0103
1.0986,0.53739,0.18343,p0104
0.81368,0.5665,0.2401,p0105
0.92827,1.086,0.27658,p0106
1.3004,1.0902,0.24803,p0107
1.2208,1.4711,0.2281,p0108
0.9706,1.2037,0.31495,p0109
1.3567,1.0427,0.39999,p0110
1.298,0.67243,0.28708,p0111
1.289,0.52879,0.19507,p0112
0.74056,1.3617,0.31726,p0113
0.77819,1.0464,0.23484,p0114
0.58461,1.3312,0.10837,p0115
1.3428,1.1116,0.22223,p0116
0.95482,0.55825,0.1794,p0117
1.1963,0.69655,0.19039,p0118
0.96894,1.4402,0.36513,p0119
0.82224,0.59919,0.085293,p0120
0.73805,0.98085,0.27005,p0121
1.3245,1.3478,0.092296,p0122
1.2918,1.2726,0.12588,p0123
0.9336,1.2467,0.32478,p0124
0.72591,1.2489,0.32182,p0125
1.3171,1.1515,0.3437,p0126
0.70882,1.1324,0.2581,p0127
0.81799,1.4352,0.20218,p0128
1.3688,0.81508,0.3957,p0129
1.0588,1.1004,0.13792,p0130
1.3825,0.90668,0.15652,p0131
1.4142,1.2044,0.12797,p0132
0.93861,0.99418,0.067944,p0133
0.7976,1.3734,0.24233,p0134
1.0386,0.86319,0.34678,p0135
1.0718,1.1078,0.37092,p0136
0.93002,0.87441,0.2493,p0137
1.1127,1.3099,0.081606,p0138
1.1264,1.1705,0.27881,p0139
1.1387,1.0231,0.2669,p0140
1.303,1.4679,0.071825,p0141
1.381,1.4745,0.1409,p0142
1.3276,0.89515,0.25211,p0143
0.95731,1.1097,0.26435,p0144
1.4699,0.55321,0.093944,p0145
0.66995,1.075,0.13484,p0146
1.0286,0.95213,0.38333,p0147
0.97315,1.4125,0.26223,p0148
1.2644,1.1521,0.39165,p0149
1.2832,0.67153,0.36665,p0150
0.98668,0.59706,0.3316,p0151
0.7457,1.1342,0.1946,p0152
0.57217,1.4549,0.31762,p0153
0.84811,1.2093,0.36375,p0154
0.71511,0.89838,0.27993,p0155
0.66558,0.9372,0.21353,p0156
1.0604,0.73444,0.24671,p0157
1.0977,0.72981,0.24106,p0158
0.98418,0.91176,0.20563,p0159
1.1716,1.4585,0.14756,p0160
0.92093,1.1461,0.20945,p0161
0.83795,0.56467,0.34298,p0162
1.0459,0.79811,0.15808,p0163
1.0377,0.64755,0.34881,p0164
1.2715,1.0106,0.10786,p0165
1.2092,1.3009,0.17992,p0166
1.1042,1.2121,0.12761,p0167
1.1545,1.0165,0.12892,p0168
1.1862,1.1693,0.096129,p0169
0.70404,1.0262,0.35692,p0170
1.163,0.57444,0.21008,p0171
1.203,0.90158,0.051512,p0172
1.2753,0.88778,0.14431,p0173
1.4788,0.59245,0.27519,p0174
0.87763,0.58303,0.075321,p0175
0.667,1.4509,0.34241,p0176
0.70133,1.0824,0.22672,p0177
1.392,1.3183,0.30122,p0178
1.3948,0.7101,0.10141,p0179
0.57108,0.52387,0.396,p0180
1.3964,0.50704,0.1267,p0181
1.4746,0.73676,0.32726,p0182
0.65243,1.2796,0.17667,p0183
0.62445,1.4469,0.13045,p0184
0.83362,0.82062,0.27714,p0185
0.57547,0.61364,0.26519,p0186
1.274,0.96618,0.34026,p0187
1.159,1.029,0.23336,p0188
1.1793,1.3805,0.26042,p0189
0.9196,0.66605,0.33486,p0190
0.6616,0.73248,0.17042,p0191
1.4373,1.2778,0.24258,p0192
1.1002,0.60842,0.088216,p0193
1.1768,0.80957,0.055889,p0194
1.4662,1.0709,0.064093,p0195
1.0123,1.355,0.083148,p0196
1.2942,0.96426,0.077482,p0197
1.3306,0.53109,0.083956,p0198
0.97524,1.2433,0.21078,p0199
1.2396,1.2117,0.089215,p0200
1.167,1.2004,0.16778,p0201
0.69257,1.3112,0.17251,p0202
0.7925,0.7833,0.29549,p0203
1.0744,1.4223,0.33979,p0204
1.4947,0.75986,0.18541,p0205
0.79472,1.1788,0.38955,p0206
0.50755,0.64204,0.31256,p0207
1.4082,0.98993,0.082365,p0208
1.0277,0.9034,0.39108,p0209
0.58651,0.59574,0.32717,p0210
1.3521,0.83424,0.2015,p0211
0.89384,1.1559,0.072714,p0212
1.1751,0.66342,0.25887,p0213
0.72226,0.53212,0.16284,p0214
1.2316,1.097,0.35874,p0215
1.1519,1.165,0.35117,p0216
1.0816,0.50252,0.087775,p0217
0.85905,0.98223,0.057842,p0218
1.1287,1.2146,0.24351,p0219
0.55266,1.3579,0.17487,p0220
1.2795,0.76593,0.31239,p0221
0.85792,1.3924,0.33535,p0222
1.394,0.95107,0.13571,p0223
0.55037,1.0028,0.20433,p0224
1.3372,0.71968,0.28278,p0225
0.77307,0.89116,0.3116,p0226
1.2283,1.458,0.17843,p0227
0.5129,0.94896,0.13288,p0228
1.2357,0.78163,0.38471,p0229
1.3744,0.50868,0.21773,p0230
0.80276,1.4169,0.32865,p0231
0.59896,0.68556,0.27252,p0232
0.94658,1.431,0.23402,p0233
0.50332,0.53863,0.28882,p0234
0.74782,0.99339,0.32432,p0235
0.90971,1.3414,0.17241,p0236
0.73069,1.343,0.13842,p0237
0.8554,0.93935,0.11948,p0238
0.96015,0.93581,0.32288,p0239
0.77035,1.2242,0.31617,p0240
0.59475,0.893,0.38285,p0241
0.92762,0.65475,0.20073,p0242
1.3052,1.0549,0.063248,p0243
0.75558,1.2679,0.11241,p0244
1.4167,0.77416,0.37581,p0245
1.2145,1.259,0.12937,p0246
0.9516,1.0215,0.38942,p0247
1.4103,0.81781,0.22577,p0248
1.4038,1.3123,0.054169,p0249
0.78001,1.2281,0.076926,p0250
1.4708,0.54555,0.21839,p0251
1.1646,0.53516,0.39365,p0252
1.3794,0.86465,0.15369,p0253
0.81534,1.2621,0.081419,p0254
1.4392,1.4788,0.14226,p0255
1.338,0.72539,0.31892,p0256
0.94186,1.4905,0.38776,p0257
1.0888,0.92128,0.25355,p0258
0.52981,0.62694,0.07064,p0259
1.4271,1.059,0.38811,p0260
1.4349,1.0641,0.18894,p0261
1.3236,0.85345,0.1502,p0262
1.1424,0.67403,0.245,p0263
0.52765,1.1236,0.37421,p0264
0.88818,1.4738,0.1913,p0265
0.81979,0.99732,0.36469,p0266
1.0559,1.4965,0.11305,p0267
1.2805,1.4873,0.21685,p0268
1.0908,0.9848,0.36841,p0269
0.82463,0.69968,0.10203,p0270
1.3078,1.4855,0.18462,p0271
0.62337,1.0312,0.24563,p0272
0.68502,0.60342,0.35348,p0273
1.1685,1.0497,0.37738,p0274
0.99196,0.79337,0.067235,p0275
0.87067,0.9086,0.14869,p0276
0.64659,0.57113,0.20537,p0277
0.71186,0.74126,0.21131,p0278
1.2532,0.80519,0.28183,p0279
0.78559,0.96368,0.20392,p0280
0.98992,1.2657,0.21431,p0281
1.263,1.0041,0.30774,p0282
0.68239,1.3507,0.26776,p0283
0.99743,0.97473,0.38183,p0284
0.86203,1.4372,0.096316,p0285
0.54282,1.3044,0.26925,p0286
0.67505,0.77136,0.25541,p0287
1.207,0.62559,0.10717,p0288
0.97649,1.317,0.22717,p0289
0.62051,1.2213,0.1744,p0290
1.125,1.3792,0.33839,p0291
0.65974,0.77355,0.074889,p0292
1.0204,1.2867,0.15264,p0293
1.364,0.51015,0.36257,p0294
1.3995,0.68815,0.29104,p0295
0.61995,0.86098,0.34584,p0296
0.80433,1.0362,0.14719,p0297
0.83599,1.3969,0.20742,p0298
0.64299,0.68255,0.11901,p0299
1.4866,1.4272,0.11044,p0300
1.4491,0.8396,0.11852,p0301
0.70292,0.94792,0.11684,p0302
0.86646,0.5547,0.31981,p0303
1.4999,0.84822,0.36607,p0304
