wind_speed,swr,a_seiche,par_id
0.91895,1.0462,0.00064425,p0001
1.0622,0.71629,0.001954,p0002
1.0252,1.0089,0.00058409,p0003
1.1604,0.6007,0.0012485,p0004
1.4126,0.67019,0.0022762,p0005
0.93055,1.415,0.0027723,p0006
1.1472,0.9951,0.0010379,p0007
0.86436,1.3865,0.0022077,p0008
1.4199,0.66078,0.00052415,p0009
1.0935,1.0867,0.0010138,p0010
0.95604,1.1621,0.0014849,p0011
1.2355,0.53358,0.0016675,p0012
1.3018,0.80787,0.0015882,p0013
0.77317,1.0973,0.0016863,p0014
1.3103,0.90867,0.00062685,p0015
0.90264,1.4335,0.0010699,p0016
1.012,1.4433,9.2372e-05,p0017
1.2868,1.2108,0.0016512,p0018
0.67541,1.049,0.0023232,p0019
0.59326,0.59063,0.0029454,p0020
1.425,1.2918,0.0013535,p0021
0.68339,1.425,0.0011247,p0022
0.74825,1.3583,0.00076588,p0023
0.92943,0.87604,0.0024576,p0024
0.82262,0.60818,0.00068619,p0025
0.73465,0.96259,0.00078397,p0026
0.8009,0.87392,0.0018211,p0027
0.57711,1.3797,0.00097096,p0028
1.1499,1.1184,8.483e-05,p0029
0.98688,0.78589,0.00050389,p0030
1.3815,0.59776,0.002382,p0031
0.74158,0.75,4.5794e-05,p0032
1.3844,0.64361,0.00056058,p0033
1.0696,0.51034,0.00051768,p0034
1.0731,1.2144,0.0027501,p0035
1.3868,0.84521,0.00088638,p0036
1.0305,0.75451,0.0011348,p0037
1.0941,0.95237,0.0018269,p0038
1.1547,0.80811,0.0027894,p0039
1.1998,1.4577,0.0020409,p0040
1.0401,0.59944,0.0026217,p0041
1.3124,1.0289,0.0021025,p0042
0.91273,1.2639,0.0010556,p0043
0.62184,0.54171,0.00011595,p0044
0.97011,1.2512,0.0010292,p0045
0.53841,0.81507,0.0019676,p0046
0.80984,1.095,0.0021257,p0047
0.77667,0.5594,0.0027935,p0048
0.86064,0.85077,0.001703,p0049
1.1573,1.0709,0.0029464,p0050
0.78201,0.58063,0.0013848,p0051
0.68684,1.3649,0.0018038,p0052
0.89974,1.1574,0.002292,p0053
0.51501,1.0199,0.0014923,p0054
1.0885,1.2082,0.00036769,p0055
0.54218,0.50372,0.0010992,p0056
1.0996,1.3452,0.0026556,p0057
1.2772,0.62296,0.0019409,p0058
0.68407,1.0597,0.00084909,p0059
1.1702,1.2074,0.0017346,p0060
1.4815,0.90326,7.6096e-05,p0061
0.57324,0.52346,0.0015593,p0062
0.79539,1.4627,0.00020254,p0063
0.61495,1.4048,0.0015627,p0064
1.1973,1.1802,0.00014686,p0065
0.58023,1.2058,0.0015735,p0066
0.96542,1.2328,0.0012855,p0067
1.3082,0.72092,0.002144,p0068
1.2695,1.1742,0.00040279,p0069
0.54711,0.99376,0.0024747,p0070
1.429,1.4234,0.0019378,p0071
0.83196,0.97576,0.0019718,p0072
0.79064,0.54835,0.00041065,p0073
1.3544,0.9261,0.0028362,p0074
1.4449,0.73146,0.00063867,p0075
1.2136,0.94132,0.0014341,p0076
0.85014,0.63784,0.0010973,p0077
1.2418,0.66753,0.001917,p0078
1.2045,0.58867,0.0017494,p0079
0.58207,1.3292,0.00046967,p0080
0.96107,0.85811,0.0025669,p0081
0.93731,1.0161,0.0013668,p0082
1.4409,1.1035,0.0024263,p0083
0.63432,1.2923,9.9029e-06,p0084
1.2188,0.68261,0.00091061,p0085
0.58516,0.93753,0.0029149,p0086
0.99581,0.64008,0.0001911,p0087
1.4834,1.0034,0.0020873,p0088
0.85374,0.79182,0.0019059,p0089
1.0425,0.73599,0.0006586,p0090
0.92404,0.50999,0.0021122,p0091
1.4684,1.3899,0.001501,p0092
0.70354,0.70722,0.0028442,p0093
1.4946,1.1356,0.0015224,p0094
1.1783,1.4719,0.002094,p0095
0.73984,0.83882,0.0028223,p0096
1.0364,1.4378,0.0024235,p0097
0.99881,1.0405,0.0014184,p0098
1.0759,1.0367,0.0025581,p0099
1.3653,1.1551,4.107e-05,p0100
1.4621,1.2273,0.00074538,p0101
0.75714,0.89857,0.00045491,p0102
0.64972,0.8205,0.0013496,p0103
1.1177,1.1648,0.0023672,p0104
0.67738,0.83184,0.00093524,p0105
1.2985,0.98586,0.002167,p0106
0.88705,1.1916,0.00043345,p0107
0.83531,0.90505,0.0018821,p0108
0.96332,1.3526,0.0023601,p0109
0.78154,1.2289,0.0021921,p0110
1.3027,1.1764,0.0011879,p0111
1.4024,1.0771,0.0024915,p0112
0.50427,1.4034,0.00010507,p0113
0.75133,0.56778,0.0021405,p0114
0.77194,0.68014,0.0020547,p0115
0.61878,0.80391,0.0002741,p0116
0.54001,1.196,0.00028663,p0117
0.76479,0.7738,0.0024788,p0118
1.1522,1.0897,0.0010839,p0119
0.65942,1.2374,0.002648,p0120
0.86991,0.50626,4.9768e-05,p0121
0.64748,0.66421,0.0013263,p0122
1.2565,0.61983,0.0017165,p0123
0.62216,1.489,0.00038705,p0124
0.76984,1.1103,0.000443,p0125
0.60437,0.94552,0.0016263,p0126
1.2362,1.0689,0.0027235,p0127
1.2429,0.74072,0.00017786,p0128
0.73166,0.6683,0.001734,p0129
0.51921,1.3221,0.00039696,p0130
0.62623,1.3957,0.0020269,p0131
0.94056,0.8523,0.0029385,p0132
0.53724,0.99915,0.0013611,p0133
0.93963,1.1923,0.002435,p0134
1.4107,0.77445,0.0024172,p0135
0.53249,0.57799,0.0010907,p0136
1.4477,0.87898,0.0009147,p0137
1.1051,0.83461,0.0023026,p0138
1.0479,1.1085,0.0029852,p0139
1.1909,1.4207,0.0025346,p0140
0.75383,0.60668,0.001074,p0141
0.64546,1.2471,0.0028757,p0142
0.95097,0.74701,0.0025479,p0143
1.3483,1.0751,0.0021535,p0144
1.1893,1.3695,0.0017854,p0145
1.4485,1.171,0.00056466,p0146
1.1752,0.65716,0.0027999,p0147
1.4856,1.1167,0.00050828,p0148
1.3721,1.4912,0.0026158,p0149
1.0124,0.89621,0.0029669,p0150
1.0234,1.4817,0.001284,p0151
1.1937,1.4124,0.0006702,p0152
1.1421,1.3803,0.0019122,p0153
1.1316,0.8868,0.00042259,p0154
0.94814,1.4391,0.0013745,p0155
1.2498,0.63084,0.00013422,p0156
1.071,0.83754,0.0019777,p0157
0.65265,1.3266,0.0023452,p0158
0.63943,1.4005,0.002708,p0159
1.4311,0.70336,0.0014677,p0160
0.94666,0.77676,0.00072816,p0161
1.2514,0.71968,0.0014299,p0162
1.2822,1.3073,0.00081168,p0163
1.4677,1.0813,0.00085207,p0164
0.66534,0.81058,0.0022955,p0165
1.4377,0.603,0.0028099,p0166
1.3192,0.61639,0.00011244,p0167
1.4155,0.88257,0.001794,p0168
1.409,0.78636,9.9703e-05,p0169
0.55375,1.1821,0.0022126,p0170
1.0278,1.3929,0.001867,p0171
0.56998,1.1045,0.0026839,p0172
0.52552,0.8546,0.0013054,p0173
1.3538,0.92195,0.0016608,p0174
0.71471,0.86218,0.0024657,p0175
1.174,1.4606,0.0016494,p0176
0.88202,1.4691,0.0013111,p0177
1.4386,1.2567,0.00073542,p0178
1.2957,0.82376,0.0027795,p0179
0.62513,1.1877,0.001119,p0180
1.3064,1.1534,0.0016757,p0181
0.98952,0.60406,0.00047838,p0182
0.95206,0.52809,0.0007885,p0183
1.1191,0.75624,0.0010012,p0184
0.89257,1.4659,0.0022601,p0185
0.72531,0.91421,0.0022506,p0186
