wind_speed,swr,a_seiche,par_id
1.0983,1.4624,0.0012462,p0001
1.3835,0.76265,0.00079869,p0002
0.78214,0.82649,0.00025935,p0003
0.62882,1.2769,0.0021884,p0004
0.63768,0.78559,0.0010619,p0005
0.9268,0.60365,0.0011708,p0006
0.89767,1.1343,0.0029562,p0007
1.4232,0.6157,0.0026686,p0008
0.91513,1.0776,0.002979,p0009
0.65815,1.4569,0.0015612,p0010
1.4554,1.2228,0.00054747,p0011
0.88498,1.1603,0.0016251,p0012
1.238,0.93453,0.0029355,p0013
0.83251,0.77343,0.0019794,p0014
0.73622,1.4712,0.0023696,p0015
0.75812,1.3551,0.0024711,p0016
0.52889,1.0478,0.00053629,p0017
1.3925,0.97359,0.0024656,p0018
1.0372,1.4899,0.0014522,p0019
1.1184,1.3797,0.0005293,p0020
0.51413,1.2652,0.0027732,p0021
1.0825,1.0388,0.0012907,p0022
1.1646,1.1291,0.00021355,p0023
0.85037,1.4226,0.0020989,p0024
0.70565,0.92607,0.00028487,p0025
1.2181,0.53357,0.0029703,p0026
1.2228,1.0365,0.0019727,p0027
0.57297,0.5777,0.0015442,p0028
0.52304,0.64817,0.0006467,p0029
1.1734,1.4219,0.0026407,p0030
1.1306,0.70439,0.00015791,p0031
0.82657,0.90946,0.00093033,p0032
1.2919,1.2316,7.2941e-05,p0033
1.4701,0.67529,0.00091978,p0034
0.8281,0.63284,0.0026972,p0035
1.2972,0.97709,0.00023214,p0036
0.58179,0.76721,0.0026199,p0037
1.4885,0.91771,0.0021297,p0038
1.3681,1.3522,0.0025812,p0039
1.4259,1.1069,0.00085664,p0040
1.4209,0.76884,0.0013227,p0041
1.1457,1.3291,0.0022753,p0042
0.71928,0.50661,0.0023471,p0043
0.77653,0.55816,0.00037882,p0044
1.2655,1.4296,0.0018271,p0045
1.3619,0.51033,0.0014774,p0046
0.53556,1.3054,9.4647e-05,p0047
0.93289,1.2098,0.0022351,p0048
1.3365,0.89981,0.0028376,p0049
1.2014,0.55436,0.0018805,p0050
0.62068,1.2208,0.00020609,p0051
1.0134,1.2839,0.0019356,p0052
0.9921,1.0287,0.0020247,p0053
1.0765,1.2445,0.0026516,p0054
0.90083,1.2462,0.0012666,p0055
1.2551,1.0508,0.001223,p0056
0.84448,1.2865,0.00040038,p0057
1.3961,1.3935,0.00044844,p0058
0.57599,1.4331,0.0028157,p0059
1.3993,0.96277,0.0016117,p0060
1.0683,0.70178,0.0021316,p0061
0.81224,0.81736,9.875e-05,p0062
1.4785,1.4743,0.0019644,p0063
1.2432,0.85757,0.0024779,p0064
0.6091,0.7499,0.00011801,p0065
1.0475,0.75226,0.0023199,p0066
0.68363,0.64103,0.0011837,p0067
1.1479,1.2333,0.0029416,p0068
1.2212,1.366,0.0013609,p0069
0.67641,0.80415,0.0014444,p0070
1.3804,0.56552,0.0013653,p0071
1.298,1.4443,0.0022192,p0072
1.3217,0.69208,0.0026373,p0073
0.67855,0.62723,0.00094696,p0074
0.9798,1.375,0.00033531,p0075
1.0573,0.86038,0.0020491,p0076
0.55785,0.52863,0.0017493,p0077
0.85905,1.2939,0.00069642,p0078
1.1697,0.67829,0.0020186,p0079
0.51735,1.1384,0.0018766,p0080
0.85771,0.8324,0.0020366,p0081
0.95544,1.2602,0.00070918,p0082
0.6888,0.52385,0.0015395,p0083
0.88304,0.97568,0.0012271,p0084
1.4912,1.097,0.0018938,p0085
1.3511,1.1366,7.1558e-05,p0086
1.0437,0.87603,0.0020533,p0087
1.0861,0.71599,0.0016836,p0088
1.4463,0.80845,0.0023096,p0089
1.4492,0.63811,0.00037756,p0090
0.86605,0.95781,0.00069228,p0091
1.4038,1.4933,0.0012781,p0092
0.54862,1.3974,0.0014759,p0093
0.60195,0.87594,0.0013719,p0094
0.86281,0.53108,0.0010321,p0095
1.238,1.486,0.0018061,p0096
0.94356,1.4655,0.0023775,p0097
0.87756,1.2291,0.0015897,p0098
1.2536,0.50337,0.0010648,p0099
1.387,1.1882,0.0025148,p0100
1.4539,1.3345,0.00026809,p0101
1.0514,0.68388,0.0021757,p0102
0.94876,0.72406,0.00016433,p0103
1.2797,1.0954,0.00064886,p0104
0.77307,0.84929,0.00017143,p0105
1.4335,0.58856,0.0017125,p0106
0.95262,1.4461,0.0018151,p0107
1.281,0.59586,0.00089816,p0108
0.61329,1.3564,0.00027559,p0109
0.99424,0.51795,0.00018464,p0110
0.57754,1.1107,0.0023159,p0111
0.65575,1.0708,0.00058754,p0112
1.0594,0.78209,0.0020128,p0113
1.1741,0.83988,0.0028636,p0114
1.4389,0.85104,0.0023962,p0115
0.72438,1.0986,0.0018574,p0116
1.1228,0.63704,0.0022556,p0117
0.90482,1.0753,0.0024119,p0118
0.82524,1.1434,0.00045971,p0119
0.76138,1.0695,0.0011785,p0120
1.4691,0.63496,0.0009368,p0121
0.64321,1.084,0.0025119,p0122
1.409,0.79758,0.0017876,p0123
1.3254,1.4345,0.00041327,p0124
0.6335,0.75656,0.00087632,p0125
0.52488,1.301,0.0015972,p0126
0.58462,1.3221,0.00062715,p0127
0.59632,0.6317,0.0010098,p0128
1.3354,0.67103,0.0018008,p0129
0.7917,0.70343,0.0010055,p0130
0.51863,0.55064,0.0026282,p0131
0.73481,0.8403,0.0022881,p0132
0.77526,1.4595,0.0018693,p0133
1.0892,0.8649,0.0025779,p0134
0.98376,0.62386,0.0013484,p0135
0.63159,1.1321,0.001505,p0136
1.0353,0.88511,0.0019994,p0137
0.61478,1.3902,0.0015153,p0138
1.2111,1.2719,0.00031324,p0139
1.1422,0.80609,0.00045261,p0140
0.68183,1.1824,0.002457,p0141
1.2595,0.81197,0.0025401,p0142
1.1414,1.4305,0.002652,p0143
1.2327,1.0578,0.000572,p0144
0.58927,0.76153,0.0028126,p0145
1.4579,0.90168,0.0029085,p0146
1.4141,0.89027,0.0024303,p0147
0.86059,1.0127,0.00078966,p0148
0.60681,1.0645,0.0015732,p0149
0.74397,0.71317,0.001303,p0150
1.4108,1.4389,0.0017409,p0151
0.61793,1.4662,0.00036018,p0152
0.84014,0.87868,0.0021448,p0153
1.16,1.1445,0.0025963,p0154
0.97205,1.3145,0.001494,p0155
1.191,0.91324,0.00042865,p0156
0.61902,1.3099,0.00065827,p0157
