wind_speed,swr,wind_speed,swr,par_id
1.0909,1.1937,2.3687,7.3401,p0001
1.0058,1.1692,2.8035,3.2277,p0002
0.98661,1.103,9.5382,16.366,p0003
1.161,1.1191,15.24,13.559,p0004
0.99984,1.1957,5.2576,17.897,p0005
1.0519,1.1205,8.4491,12.293,p0006
1.0726,1.1413,19.962,9.8878,p0007
1.0251,1.1845,0.87999,12.935,p0008
1.1681,1.2141,0.60516,8.4476,p0009
1.1319,1.1072,11.487,9.001,p0010
1.0949,1.141,16.797,18.505,p0011
1.1556,1.217,3.9019,6.7108,p0012
1.0418,1.0906,7.0939,4.3842,p0013
1.0531,1.1838,17.781,6.4355,p0014
1.0927,1.0967,10.298,6.2499,p0015
1.0421,1.0854,19.853,14.062,p0016
1.0433,1.191,16.137,13.574,p0017
1.0573,1.2033,1.5192,8.3012,p0018
1.1566,1.1569,15.368,4.8121,p0019
1.0281,1.0866,16.957,15.887,p0020
1.1663,1.105,4.9386,14.699,p0021
1.157,1.1646,18.668,13.483,p0022
1.0466,1.2031,6.3621,14.007,p0023
1.0385,1.1522,16.442,12.675,p0024
1.1458,1.1761,11.921,9.1906,p0025
1.1021,1.138,0.99118,19.794,p0026
0.96698,1.1442,12.531,13.735,p0027
0.99014,1.1415,16.167,17.437,p0028
1.1854,1.1416,11.753,8.0357,p0029
1.0878,1.1644,13.429,3.079,p0030
1.0678,1.2114,10.562,13.691,p0031
0.96578,1.1514,10.32,15.306,p0032
1.0095,1.0934,16.892,7.713,p0033
1.0115,1.1642,10.096,1.5473,p0034
1.0104,1.1732,14.603,19.122,p0035
1.0044,1.1787,15.494,4.1045,p0036
1.1709,1.2175,18.621,7.4053,p0037
1.1604,1.1239,7.2864,13.909,p0038
1.1667,1.1629,7.3491,7.7627,p0039
1.0432,1.2003,17.364,11.791,p0040
1.0681,1.1586,4.607,3.7523,p0041
1.0274,1.0874,11.282,1.3678,p0042
1.1168,1.2153,8.8439,13.443,p0043
1.1192,1.1578,18.309,16.412,p0044
1.1649,1.0978,5.9785,15.274,p0045
1.1244,1.2077,1.8273,14.984,p0046
1.1792,1.0809,10.038,10.312,p0047
1.048,1.2041,14.19,1.925,p0048
1.0802,1.1366,4.4062,6.1426,p0049
1.1048,1.1778,7.2274,19.227,p0050
1.0078,1.1434,8.055,8.2455,p0051
1.0327,1.1461,18.531,16.839,p0052
1.1138,1.1709,14.631,12.587,p0053
1.142,1.1236,12.61,10.277,p0054
1.0746,1.2072,9.0247,12.408,p0055
1.0146,1.126,6.6448,5.0819,p0056
1.1878,1.1694,16.492,7.5773,p0057
1.1822,1.2084,1.1599,17.976,p0058
1.1507,1.1992,7.5055,0.92162,p0059
1.1429,1.1767,6.7165,2.4286,p0060
1.1473,1.0924,6.4428,2.2051,p0061
1.0987,1.15,13.651,9.5107,p0062
1.1356,1.1603,9.2603,8.6555,p0063
1.0543,1.2049,19.538,0.64406,p0064
0.97335,1.1316,8.116,11.226,p0065
1.0445,1.1089,12.686,5.51,p0066
1.0195,1.1174,9.6587,19.92,p0067
1.0696,1.1053,13.514,5.8578,p0068
1.0969,1.168,19.935,18.674,p0069
1.0002,1.0922,3.4854,7.2561,p0070
1.1344,1.1294,13.761,17.794,p0071
1.1333,1.1717,9.871,17.521,p0072
1.0884,1.1855,14.672,6.3193,p0073
1.1848,1.1673,18.094,14.261,p0074
0.96626,1.1006,12.168,14.895,p0075
1.0751,1.1621,12.32,1.216,p0076
1.0279,1.1962,3.5601,12.485,p0077
1.1733,1.1157,15.784,5.7205,p0078
1.057,1.1464,11.56,6.784,p0079
1.022,1.0878,13.384,6.3615,p0080
1.0554,1.2091,11.335,3.6596,p0081
