wind_speed,swr,ModelParameters/a_seiche,par_id
1.0507,0.66291,0.00020376,p0001
0.52999,1.3657,0.0048823,p0002
0.86853,1.075,0.00017763,p0003
1.3629,0.57893,0.0018778,p0004
0.66017,1.2354,0.0016259,p0005
1.3145,1.193,0.007791,p0006
0.6097,1.2295,0.00037481,p0007
1.0307,0.70483,0.0056893,p0008
1.4588,0.69553,0.0050214,p0009
1.0494,0.65578,0.0010547,p0010
0.77384,0.51521,0.00019868,p0011
1.3387,1.4685,0.00013874,p0012
0.56422,1.0958,0.00040877,p0013
1.1722,0.55175,0.0054186,p0014
0.66275,1.4202,0.0013716,p0015
1.1902,0.79287,0.0021201,p0016
1.0223,1.293,0.0093412,p0017
1.3749,1.3096,0.00037261,p0018
1.0022,1.3007,0.00029641,p0019
0.58113,1.2375,0.0001557,p0020
0.94679,1.2788,0.0011608,p0021
1.4614,0.88561,0.0015743,p0022
0.54696,0.73246,0.00013385,p0023
0.67355,0.5573,0.00016421,p0024
0.81991,0.62815,0.0043853,p0025
0.51929,0.97847,0.0003591,p0026
1.294,0.67681,0.001126,p0027
0.92577,1.4619,0.00023266,p0028
1.0691,0.63867,0.001312,p0029
0.6024,0.63237,0.00027078,p0030
0.6541,0.90452,0.002276,p0031
1.301,1.3431,0.00021254,p0032
0.93412,1.0241,0.0044958,p0033
0.88276,0.76176,0.0026989,p0034
1.1169,0.99253,0.00012863,p0035
0.99751,1.1585,0.0066792,p0036
1.153,0.58344,0.00016882,p0037
1.2329,1.1357,0.0012712,p0038
1.175,0.56159,0.00018965,p0039
0.50926,1.4391,0.0050022,p0040
0.51563,1.0207,0.00010658,p0041
1.4004,0.77305,0.00071206,p0042
0.88551,1.0789,0.00021994,p0043
0.78225,0.74633,0.0040562,p0044
1.395,1.2193,0.0026668,p0045
1.2694,0.71133,0.0007313,p0046
0.9948,0.73775,0.0004314,p0047
1.4135,0.54198,0.0032735,p0048
0.72057,0.83358,0.00037978,p0049
1.1135,0.54523,0.0027283,p0050
1.1882,1.4351,0.00045259,p0051
0.96752,1.4017,0.0060582,p0052
0.72373,0.63647,0.0074172,p0053
0.6958,0.58525,0.001033,p0054
1.1046,1.3482,0.0063503,p0055
1.4881,1.4659,0.0062231,p0056
1.2743,0.93515,0.00061143,p0057
0.5522,1.0294,0.0011441,p0058
1.2153,0.75182,0.00044098,p0059
1.2972,1.2856,0.0024214,p0060
1.2261,1.3761,0.00027493,p0061
0.72412,1.493,0.00012592,p0062
0.95654,0.96743,0.0081207,p0063
0.86603,0.68345,0.0015197,p0064
0.59815,1.4287,0.0019737,p0065
0.93994,0.90269,0.0065868,p0066
0.74336,1.2101,0.00043905,p0067
1.3097,1.1002,0.00012807,p0068
0.57478,1.4549,0.00053226,p0069
1.2444,1.1576,0.0010199,p0070
1.2716,0.70611,0.0046164,p0071
0.71965,0.86905,0.00034817,p0072
1.2593,1.4894,0.00010137,p0073
0.83459,0.52232,0.00019418,p0074
1.1792,0.50658,0.00025571,p0075
1.1022,0.91552,0.00022311,p0076
1.4117,1.2019,0.0033527,p0077
1.1872,1.4133,0.0012476,p0078
0.93086,0.6578,0.00050955,p0079
1.1808,1.1411,0.0013302,p0080
0.65284,0.74055,0.00033884,p0081
1.1346,0.77003,0.0008951,p0082
1.4527,1.1883,0.00064052,p0083
0.82102,0.70946,0.0005268,p0084
1.136,1.0768,0.0020852,p0085
0.54877,1.1142,0.0010073,p0086
1.3617,1.2568,0.002141,p0087
1.0368,0.50447,0.0012087,p0088
0.80143,1.1707,0.00038332,p0089
0.90388,1.001,0.0080113,p0090
1.3962,0.93197,0.0031477,p0091
1.1283,1.1788,0.0020111,p0092
0.99911,1.4416,0.00015414,p0093
0.83191,0.82175,0.00099728,p0094
1.3798,1.2965,0.0028832,p0095
0.80289,0.73936,0.0018349,p0096
1.4329,0.80548,0.002497,p0097
