wind_speed,swr,turbulence/turb_param/k_min,par_id
0.85117,1.448,4.4298e-08,p0001
1.0591,1.063,1.6007e-09,p0002
0.75538,0.92954,4.5209e-10,p0003
0.59356,0.83413,1.4676e-11,p0004
0.93704,1.2052,4.5336e-12,p0005
1.129,1.2894,4.8407e-06,p0006
1.1456,0.55527,9.2125e-12,p0007
1.2232,1.4612,1.5516e-06,p0008
0.80578,1.4816,5.77e-12,p0009
0.74489,0.9451,1.1239e-08,p0010
1.2781,1.1539,2.6997e-11,p0011
0.61625,1.0034,5.553e-11,p0012
0.83011,0.93553,3.4861e-12,p0013
1.1258,1.4562,3.9548e-08,p0014
0.54013,1.1008,1.045e-11,p0015
1.09,0.57977,2.4963e-12,p0016
0.50554,1.06,1.3485e-08,p0017
1.2419,1.1837,3.0729e-09,p0018
1.3162,0.5713,3.6059e-08,p0019
0.74291,1.2131,1.0361e-10,p0020
0.57266,1.2146,2.3272e-06,p0021
1.1635,0.83096,9.3743e-11,p0022
0.58656,0.82795,4.8128e-08,p0023
1.2488,0.6397,2.1068e-11,p0024
0.98197,0.98821,1.0033e-11,p0025
1.1572,0.53826,9.5907e-07,p0026
0.82109,0.74916,3.9484e-10,p0027
1.3728,0.97987,2.4148e-06,p0028
0.87533,1.3623,6.1018e-08,p0029
0.80039,0.92681,1.0689e-07,p0030
0.75209,0.58707,2.8479e-12,p0031
1.2983,1.1986,3.7252e-07,p0032
1.2848,0.98625,7.5923e-12,p0033
0.55216,1.3106,1.918e-09,p0034
0.95885,1.1731,5.5342e-08,p0035
0.77764,1.3357,2.1084e-07,p0036
1.4331,1.0926,3.2293e-12,p0037
1.1347,0.85855,4.9769e-12,p0038
0.54973,1.0521,1.0252e-08,p0039
0.61156,0.78837,2.4855e-09,p0040
1.3657,1.2991,2.0758e-06,p0041
1.0781,1.1552,5.2936e-11,p0042
0.97656,0.80682,2.9389e-07,p0043
0.57007,0.5881,1.6643e-07,p0044
1.1527,1.2098,7.5844e-10,p0045
0.92334,0.51544,1.5667e-07,p0046
0.53898,0.83642,3.7015e-12,p0047
1.2763,1.4022,3.6348e-06,p0048
1.3806,1.478,1.0205e-12,p0049
1.1039,0.72928,8.7374e-11,p0050
1.0095,1.4274,4.338e-11,p0051
1.1176,1.3868,1.0143e-07,p0052
1.4889,0.66884,1.5182e-10,p0053
1.2503,0.93175,1.9013e-12,p0054
0.76638,1.2077,2.6903e-12,p0055
1.2245,0.68772,3.0326e-11,p0056
0.57422,0.95148,6.7709e-11,p0057
0.67286,0.8763,3.708e-08,p0058
0.51393,0.53563,2.6409e-10,p0059
1.4125,1.1619,5.1371e-11,p0060
0.88635,1.4744,2.0253e-06,p0061
1.3182,0.97283,7.5135e-06,p0062
0.9823,1.0291,1.9474e-08,p0063
1.1313,0.89212,4.2807e-12,p0064
1.3695,0.97769,1.2965e-06,p0065
1.0329,0.9824,5.7385e-09,p0066
0.59979,1.2782,1.1998e-07,p0067
1.206,0.96503,1.3179e-09,p0068
0.93597,0.57741,3.3339e-12,p0069
1.3428,0.89622,2.9093e-08,p0070
1.0828,0.70538,1.3914e-06,p0071
1.2642,0.51173,8.6647e-07,p0072
1.1655,0.51625,5.3669e-09,p0073
1.3624,1.1426,1.0453e-07,p0074
1.0458,0.64388,6.0012e-07,p0075
0.99862,1.1455,2.6355e-06,p0076
0.80247,0.66123,1.9836e-09,p0077
0.8693,1.3365,7.7506e-10,p0078
0.92746,0.81174,8.2447e-10,p0079
0.77953,0.70805,6.4723e-09,p0080
0.50171,1.1942,1.7147e-11,p0081
0.96826,1.4314,2.1857e-09,p0082
0.56717,1.4518,6.2747e-11,p0083
0.70302,0.67225,1.8629e-11,p0084
0.73902,0.90423,3.5709e-09,p0085
0.70691,0.713,1.4425e-12,p0086
0.61293,1.2944,1.7421e-10,p0087
1.1404,0.89984,8.1177e-11,p0088
1.2329,1.349,3.9867e-11,p0089
1.4628,0.73254,4.4915e-06,p0090
0.53571,0.82938,1.1519e-09,p0091
1.0604,1.3058,2.6295e-07,p0092
0.5902,1.4821,1.9549e-12,p0093
0.84696,0.62313,1.1462e-06,p0094
1.3551,1.067,4.0628e-07,p0095
1.4295,1.1909,1.5194e-07,p0096
0.82373,0.97117,9.548e-08,p0097
1.1955,0.85778,7.8488e-06,p0098
1.0427,0.61786,2.7484e-09,p0099
0.7891,1.1184,1.4056e-11,p0100
1.4261,0.85379,4.5812e-11,p0101
0.92871,1.3697,9.9178e-10,p0102
0.61818,1.2595,1.7856e-06,p0103
0.79818,1.2768,6.323e-09,p0104
0.58542,0.69828,3.1332e-06,p0105
1.4808,1.4533,1.1294e-10,p0106
0.96272,1.3181,3.1516e-10,p0107
0.68771,1.345,3.73e-06,p0108
0.72362,1.0838,3.1837e-12,p0109
0.72991,0.58114,1.1049e-12,p0110
0.83923,1.1647,5.8388e-09,p0111
1.4562,0.73636,1.8315e-06,p0112
1.1699,0.65061,3.4258e-10,p0113
0.79527,0.77007,4.4742e-07,p0114
0.65489,0.5909,4.0946e-09,p0115
0.61419,1.0149,3.4918e-11,p0116
1.2471,0.56671,3.4744e-06,p0117
