wind_speed,swr,a_seiche,par_id
0.56855,0.8861,0.0029961,p001
0.8879,0.98412,0.0019946,p002
0.51527,1.019,0.0026275,p003
0.93398,1.0473,0.0018271,p004
1.0714,0.80937,0.002151,p005
1.5802,1.2789,0.00082359,p006
1.027,0.81666,0.001105,p007
1.1965,1.4927,0.0013695,p008
1.4995,1.4269,0.0022436,p009
1.486,0.96483,0.0023209,p010
0.94888,1.2554,0.0018864,p011
1.6331,0.88372,0.0025782,p012
1.003,1.3598,0.0013017,p013
1.3439,1.1714,0.0029125,p014
0.53667,1.2914,0.0028343,p015
1.6252,1.032,0.0027896,p016
1.2394,1.18,0.0029036,p017
0.70255,1.1583,0.0021878,p018
0.71416,0.95304,0.0012498,p019
1.3952,0.8588,0.0016508,p020
0.90594,1.1277,0.0019729,p021
0.7571,1.3092,0.0026787,p022
1.1082,1.0905,0.0010331,p023
0.81636,0.89958,0.0025334,p024
0.64393,1.2077,0.001218,p025
1.167,1.3421,0.0010191,p026
0.78802,1.386,0.0023749,p027
0.86796,1.2374,0.0011851,p028
1.0843,0.9213,0.0019267,p029
0.67444,0.83246,0.0023968,p030
1.2795,1.3709,0.0014314,p031
0.74963,1.0612,0.002488,p032
0.57887,1.3213,0.0009044,p033
1.5184,1.1114,0.0017737,p034
1.3025,0.85173,0.002074,p035
1.6037,1.3914,0.0017291,p036
1.2162,1.1019,0.0026921,p037
0.62743,1.0072,0.00094596,p038
1.4041,1.2007,0.00087626,p039
1.1406,1.4086,0.0013732,p040
0.823,1.4387,0.0020766,p041
0.60056,1.472,0.0016054,p042
1.1789,1.2306,0.0024453,p043
1.5527,1.0677,0.0015421,p044
1.4266,1.4765,0.0027438,p045
1.3238,0.93681,0.0015698,p046
0.96012,1.4574,0.0014767,p047
1.0295,1.1416,0.0016884,p048
1.3566,1.2647,0.0011518,p049
1.4621,0.98176,0.0022533,p050
