wind_speed,swr,Phys.par/C_shelter,par_id
0.89085,1.2484,0.14515,p001
0.51141,1.0608,0.15379,p002
1.5507,1.0194,0.14211,p003
1.437,0.84834,0.14619,p004
1.3259,1.0895,0.14002,p005
0.57915,1.1501,0.15995,p006
1.1842,0.92689,0.1459,p007
0.60935,1.1259,0.14243,p008
0.71724,1.4646,0.14337,p009
0.55443,1.4829,0.15541,p010
1.2608,1.2391,0.1407,p011
1.4937,1.3166,0.15771,p012
1.0264,0.9473,0.14779,p013
1.3491,0.88805,0.14718,p014
0.6522,1.3634,0.15754,p015
1.2444,1.1022,0.15091,p016
0.76855,1.0013,0.1521,p017
0.94644,0.87988,0.14877,p018
1.0674,0.80162,0.15904,p019
1.1649,0.86438,0.15043,p020
1.6365,1.0498,0.15469,p021
1.2855,1.2249,0.1411,p022
0.89968,1.2804,0.15131,p023
1.0397,1.0769,0.15421,p024
0.85062,1.2936,0.14152,p025
1.1007,1.4418,0.15509,p026
1.3972,1.2025,0.15595,p027
1.573,0.90232,0.14882,p028
0.6623,1.2684,0.1592,p029
0.77899,1.2118,0.15278,p030
0.5451,0.98655,0.1561,p031
1.61,1.4039,0.15316,p032
1.5122,0.82674,0.1566,p033
1.2128,1.4881,0.14468,p034
0.83702,1.0357,0.15358,p035
0.70066,1.4516,0.15842,p036
1.2294,1.4176,0.14725,p037
0.93298,1.1366,0.15711,p038
0.98641,0.91596,0.14674,p039
1.5965,1.1763,0.14389,p040
1.3935,1.3297,0.15036,p041
0.98283,0.82881,0.1431,p042
1.473,1.3327,0.14806,p043
1.1243,0.97243,0.14419,p044
0.74194,1.3898,0.14936,p045
0.81814,1.3745,0.15179,p046
1.4641,0.95569,0.14178,p047
1.083,1.354,0.14961,p048
0.62265,1.1798,0.15826,p049
1.3703,1.1186,0.14536,p050
